factory_name,subscription_id,subscription_name,activity_type,count
adf-jovi-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
adf-jovi-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
adf-jovi-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
adf-laurent,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
adf-laurent,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
adf-laurent,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,2
adf-onno-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
adf-otis-cosmosdb,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,2
adf-rohan-databricks,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,4
adf-runs,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Copy,1
adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecuteDataFlow,3
adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,2
adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
adf-tanishq,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,DatabricksNotebook,4
adf-tanishq,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ExecutePipeline,1
adf-tanishq,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Until,2
adf-tanishq,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,WebActivity,2
adf-travislongwell,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,6
adf-travislongwell,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecutePipeline,1
adf-travislongwell,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,3
adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,1
adf-ut41f,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,IfCondition,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Lookup,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,2
amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,2
amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Wait,1
amanpsdatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,2
andreatardif,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
anf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
anup-adf-explore,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
apj-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,3
apj-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,1
bilal-cicd,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Wait,1
bilal-salesforce-factory,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ForEach,1
bnelsondatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
bnelsondatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,3
canada-eh-data-factory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecutePipeline,1
canada-eh-data-factory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,IfCondition,2
canada-eh-data-factory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,2
canada-eh-data-factory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,2
