activity_name,activity_type,activity_category,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,ir_type,linked_service,depends_on
copy-inspections,Copy,DataMovement,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
copy-pipelines,Copy,DataMovement,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
copy-segments,Copy,DataMovement,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
copy-sensors,Copy,DataMovement,pipeline2,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
get_ts_value,Lookup,DataAccess,pipeline1,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Notebook1,DatabricksNotebook,Transformation,call_dbrx_notebook,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Sample append table,DatabricksNotebook,Transformation,test_hms_sample_ELC_pipe_val_uc,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
sample update table,DatabricksNotebook,Transformation,test_hms_sample_ELC_pipe_val_uc,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Teste Serverless Cost Optimized,DatabricksNotebook,Transformation,Yet another Serverless Pipeline,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Hello World,Unknown,Unknown,Yet another Serverless Pipeline,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricks1,[]
Databricks - Trigger Workflow,ExecutePipeline,ControlFlow,workflow-jobs-cluster,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Job1,Unknown,Unknown,pipeline1,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,AzureDatabricks1,[]
Execute Workflow Run API,WebActivity,DataAccess,Databricks - Trigger Workflow,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait Until Job Completes,Until,ControlFlow,Databricks - Trigger Workflow,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Check Job Status,IfCondition,ControlFlow,Databricks - Trigger Workflow,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Get Job Run URL,WebActivity,DataAccess,Databricks - Trigger Workflow,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set Run Page URL,SetVariable,ControlFlow,Databricks - Trigger Workflow,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Sample append table,DatabricksNotebook,Transformation,test_hms_sample_ELC_pipe_val,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
sample update table,DatabricksNotebook,Transformation,test_hms_sample_ELC_pipe_val,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Test_Notebook,DatabricksNotebook,Transformation,Workspace_Init_Scripts,andreatardif,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Execute Jobs API,WebActivity,DataAccess,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Wait Until Job Completes,Until,ControlFlow,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Check Job Status,IfCondition,ControlFlow,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Get Job Run URL,WebActivity,DataAccess,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set Run Page URL,SetVariable,ControlFlow,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Get Job Output,WebActivity,DataAccess,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Set Notebook Output Result,SetVariable,ControlFlow,Databricks - Run Serverless Notebook v2_ire,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
blob to sql,Copy,DataMovement,csvToSql,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
Execute Jobs API,WebActivity,DataAccess,Databricks - Run Serverless Notebook v2,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Azure,,[]
