pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,linked_service_name,compute_type_inferred,notebook_path,job_id,new_cluster_node_type,new_cluster_num_workers,new_cluster_version,existing_cluster_id,instance_pool_id,subscription_name
test-ravi-pipeline,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Run-test-notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy1,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy2,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy3,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy4,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy5,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy6,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy7,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy8,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy9,DatabricksNotebook,,unknown,,,,,,,,field-eng
notebook_trigger_parallel_job_pool_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Sleep notebook_copy10,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline2,pepsi0adf-test-nm001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
vgd_init_script_test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,read_excel,DatabricksNotebook,,unknown,,,,,,,,field-eng
rs01_pwc_test_wf,adf-rohan-databricks,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
rs01_pwc_test_wf,adf-rohan-databricks,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1_copy1,DatabricksNotebook,,unknown,,,,,,,,field-eng
rs01_pwc_test_wf,adf-rohan-databricks,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1_copy1_copy1,DatabricksNotebook,,unknown,,,,,,,,field-eng
rs01_pwc_test_wf,adf-rohan-databricks,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1_copy1_copy2,DatabricksNotebook,,unknown,,,,,,,,field-eng
test2,pepsi0adf-test-nm001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
sash-test-create-temp-view-pipe,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
reynolds-pravindev-dbx-job,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,ClassicNotebookActivity,DatabricksNotebook,,unknown,,,,,,,,field-eng
Test01,pepsi0adf-test-nm001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1_UC_workspace,vishu-adf-dbi,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
pipeline1_standard_workspace,vishu-adf-dbi,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
scala code test run,vishu-adf-dbi,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
LyallADF,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Notebook1,DatabricksNotebook,,unknown,,,,,,,,field-eng
