name,type,factory_name,factory_type,subscription_id,subscription_name,connect_via,description,datasets_using_it,pipelines_using_it
Field_eng_east,AzureDatabricks,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage1,AzureBlobFS,cdg-rsm-tester,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ganeshrj_workspace,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks2,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks2,AzureDatabricks,alexn-hello-world,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureBlobStorage1,AzureBlobStorage,alexn-hello-world,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
un_demo_connection,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,Test ADF Connection for UN Demo,0,0
AzureDatabricksFeu,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage1,AzureBlobFS,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksJMR,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Office_hours_demo,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ADB_using_MI,AzureDatabricks,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_leo,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ADB_Using_UA_MI,AzureDatabricks,ganeshrj-mi-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ADLS_LinkedService,AzureBlobFS,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Demo_conn,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
DemoWorkspace,AzureDatabricks,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
field_eng_east,AzureDatabricks,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLake1,AzureDatabricksDeltaLake,ghanse-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,alexn-hello-world,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks3pool,AzureDatabricks,alexn-hello-world,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureBatch1,AzureBatch,alexn-hello-world,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks3,AzureDatabricks,alexn-hello-world,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksTest,AzureDatabricks,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1
AzureDatabricks1,AzureDatabricks,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Lorenz_Databricks_ADF_DEMO_Serverless,AzureDatabricks,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1
adlswmdata01cool_adls,AzureBlobFS,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Lorenz_Databricks_ADF_DEMO,AzureDatabricks,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,ADF-demo-expires-november,0,0
felinked,AzureDatabricks,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ADF_JOB_CLUSTER1,AzureDatabricks,andreatardif,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,jake-fe-east-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,anup-adf-explore,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksLinkedService,AzureDatabricks,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLake1,AzureDatabricksDeltaLake,jake-fe-east-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_JobCluster,AzureDatabricks,tek-adf-eastus,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Lorenz_Databricks_ADF_DEMO_May25,AzureDatabricks,lorenz-adf-demo-combined-serverless,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1hg,AzureDatabricks,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureBlobStorage1,AzureBlobStorage,adf-ksr,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,pn-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1
ls_azsql_database,AzureSqlDatabase,test-sandesh,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
stg_test_sandesh,AzureBlobFS,test-sandesh,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureBlobStorage3,AzureBlobStorage,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureSqlDatabase1,AzureSqlDatabase,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureBlobStorage1,AzureBlobStorage,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,kolpak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
LinkeTestLinkedService,AzureDatabricks,linke-adf-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,Test,0,0
AzureDatabricks1,AzureDatabricks,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2
AzureBlobStorage2,AzureBlobStorage,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks2,AzureDatabricks,Test-Databricks-Workflows-RunNow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2
AzureDatabricksDeltaLake1,AzureDatabricksDeltaLake,adf-oracle-cmoore,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,anf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks_serverlesstest,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
marzi2,AzureDatabricks,marzi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks2,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,marzi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
thhart_filter_pii_service,AzureDatabricks,thhart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
thhart_pii_service,AzureDatabricks,thhart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
custome_policy_ls,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,adf-onno-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1
ls_blob_bcs,AzureBlobStorage,agadfbcs,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Serverless Notebook Execution,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,ie-adf-01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureSqlDatabase2,AzureSqlDatabase,ADF-kmati,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage1,AzureBlobFS,mm-test-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
Travis_Terraform_Workspace,AzureDatabricks,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
ls_databricks_serverless,AzureDatabricks,durak-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,Databricks linked service for ADF integration - cluster config unused by serverless jobs (cross-subscription),0,0
Databricks_Linked_Service_For_Job_pool,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1
AzureBlobStorage1,AzureBlobStorage,DemoTelevisa,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks3,AzureDatabricks,maps-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorage1,AzureBlobFS,DemoTelevisa,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,DemoTelevisa,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDataLakeStorageConsumption,AzureBlobFS,test-datafactory-ntr,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricks1,AzureDatabricks,adf-travislongwell,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
AzureDatabricksDeltaLake1,AzureDatabricksDeltaLake,marzi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0
