name,type,factory_name,factory_type,subscription_id,subscription_name,linked_service_name,folder,schema_columns,parameter_count,pipelines_using_it
DataRawCustomerAddresses,AzureBlobFSFile,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,pipeline1
CustomerAddresses,AzureSqlTable,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,pipeline1
AzureSqlTable1,AzureSqlTable,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,pipeline1
AdventureWorksOLTPTable,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,9,1,"Ingest AdventureWorksOLTP to Databricks Workflow, Ingest AdventureWorksOLTP to Landing, Ingest AdventureWorksOLTP to Landing Test, Ingest AdventureWorksOLTP to Landing_JSON"
MetadataDrivenCopyTask_nam_ControlDS,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,MetadataDrivenCopyTask_nam_20210721,0,0,
ADLSLandingZoneJson,Json,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1,Ingest AdventureWorksOLTP to Landing_JSON
ADLSLandingZone,Parquet,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,1,"Excel, Ingest AdventureWorksOLTP to Databricks Workflow, Ingest AdventureWorksOLTP to Landing, Ingest AdventureWorksOLTP to Landing Test, fleetmaintenance-copy_toDelta_copy1"
AzureSqlTable1,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,4,0,
OdbcTable1,OdbcTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,DBSQL_ODBC
Parquet1,Parquet,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
MetadataDrivenCopyTask_nam_DestinationDS,Parquet,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,MetadataDrivenCopyTask_nam_20210721,0,3,
ds_sql_fleetmaintenance,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,3,0,"fleetmaintenance-copy, fleetmaintenance-copy_detailed, fleetmaintenance-copy_toDelta, fleetmaintenance-copy_usingJob"
ds_sql_fleetmaintenance2,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,3,0,Delta-copyTo-fleetmaintenance
MetadataDrivenCopyTask_nam_SourceDS,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,MetadataDrivenCopyTask_nam_20210721,0,2,
ds_sql_fleetmaintenance3,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,3,0,Delta-copyTo-fleetmaintenance2
PowerOutput,AzureSqlTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,4,0,
DS_ODBCGEN,OdbcTable,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,2,PL_ODBC_Decrypt_Generic
RestResource1,RestResource,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,,,0,0,
