pipeline_name,factory_name,factory_type,subscription_id,is_metadata_driven,confidence,signals_found,parameter_count,variable_count,has_foreach_executepipeline,has_parameterized_datasets,metadata_param_count,template_group_id,subscription_name
test_pipeline,ppai-azure-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-2241954787027104022,field-eng
pipeline2,rz-test-adf2,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,1506450934327738926,field-eng
CopyAllTables,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,0,False,False,0,1784216642942851348,field-eng
pipeline_table_ingestion,steven-psa-orchestration,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,2,0,False,False,0,1784216642942851348,field-eng
pipeline1,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,3981341635124570997,field-eng
dbrx_only_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,7746213152232064267,field-eng
dbrx_pipeline_test,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,7908883273554468382,field-eng
pipeline_orchestrate_sp,ADFLLMCOLLABRSA,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,-7237440426744578092,field-eng
cse_demo_pipeline,CSEdemoDataFactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,2,0,False,False,0,7010361463613772984,field-eng
first_pipeline,CSEdemoDataFactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,0,False,False,0,-2241954787027104022,field-eng
MetadataDrivenCopyTask_nam_BottomLevel,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,1,1,False,False,0,1784216642942851348,field-eng
Ingest AdventureWorksOLTP to Landing,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,5020066256242326984,field-eng
MetadataDrivenCopyTask_nam_MiddleLevel,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,7,0,False,False,1,1784216642942851348,field-eng
MetadataDrivenCopyTask_nam_TopLevel,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,3,0,False,False,1,-2631841894733265129,field-eng
Ingest AdventureWorksOLTP to Landing_JSON,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,5020066256242326984,field-eng
Execute Databricks Job using MI with parms,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,4,1,False,False,0,-4840318173885224883,field-eng
Web Activity Job Execution,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
Execute Databricks Job using MI with parms_noparms,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,4,1,False,False,0,-4840318173885224883,field-eng
Web Activity Job Run MI_2_1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,No,N/A,,0,0,False,False,0,6267778854561202462,field-eng
fleetmaintenance-copy_toDelta_copy1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,2986451988485003859,field-eng
fleetmaintenance-copy_toDelta,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Likely,Medium,parameterized_datasets,0,0,False,True,0,2986451988485003859,field-eng
