pipeline_name,factory_name,subscription_id,subscription_name,activity_type,count
databricks_uc_test_shared_policy,pmt-adf-west-us,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,DatabricksNotebook,1
dbrookes_incremental_copy,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,1
dbrookes_incremental_copy,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
dbrookes_sales_pipeline,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
dbrookes_simple_pipeline,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,1
dbrx_only_pipeline_test,ADFLLMCOLLABRSA,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,4
dbrx_pipeline_test,ADFLLMCOLLABRSA,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,2
dbx-scb-aj-pl,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecuteDataFlow,1
dbx-scb-udp,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
dbx_scb_aj_copy,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
dbx_scb_aj_copy_convert,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,1
dbx_scb_aj_copy_convert,oneenv-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
demo_dot,ganeshrj-df-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
dim_account,peteh-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,1
