pipeline_name,factory_name,subscription_id,subscription_name,copy_activity_count,distinct_source_connectors,distinct_sink_connectors
movefromcsv,rrcadfvivo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipe_zipper,cdg-rsm-tester,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline1,ADF-kmati,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline1,Jyo-1204-ADF-snowflake,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline1,laf-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline1,mweu-adf-d-kanchwala-001,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline1,scott-black-data-factory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,2,1,1
pipeline1,weather-pipeline-mglbe,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline2,bnelsondatafactory,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline2,ghanse-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,6,1,1
pipeline2,peteh-adf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
pipeline5,adf-sash-demo,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
sftp-to-adls-pipeline,jl-adf-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
sqldb_to_delta,ronguerreroadf,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
sureshm_test1,fieldeng-migrations,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
wkmigrate_test_copy_simple,adf-wkmigrate-test,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,1,1,1
