activity_name,pipeline_name,factory_name,factory_type,subscription_id,subscription_name,source_connector,sink_connector,source_linked_service,sink_linked_service,source_dataset,sink_dataset,ir_type_used
Copy_vmu_copy1,pipeline_warehousemigration_load,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_t2y,pipeline_warehousemigration_customer,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_r07,pipeline1,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_qyz,taxi_data_pipeline,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_1s2,CopyPipeline_jason_sftp_test_dale_server,pmt-adf-jason-ping-sftp,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,SFTP,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,SourceDataset_1s2,DestinationDataset_1s2,Azure
Copy data1,CUJ_FF_01_PL,pmt_fabric_ws,Fabric,,,HTTP,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",,,,,Azure
Copy_2x9,aw_test_pipeline,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Lakehouse,,,,,Azure
Copy_84m,PoliceDataLoad,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Pipeline to Warehouse Copy,pipeline_to_warehouse_copy,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
Copy_ey2,loaddw_from_lh,pmt_fabric_ws,Fabric,,,"Files (ADLS Gen2, Blob Storage, File Storage, etc.)",Microsoft Fabric Data Warehouse,,,,,Azure
