pipeline_name,factory_name,factory_type,subscription_id,activity_name,activity_type,detected_technique,confidence,evidence,source_connector,sink_connector,has_watermark_lookup,has_downstream_sproc,has_downstream_spark,copy_upsert_enabled,cdc_references_found,watermark_references_found,subscription_name
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductModelProductDescription,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest ProductCategory,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest Address,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest CustomerAddress,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest SalesOrderDetail,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Ingest AdventureWorksOLTP to Landing Test,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Ingest SalesOrderHeader,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Delta-copyTo-fleetmaintenance,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header to delta,Copy,Full Load,High,default,AzureDatabricksDeltaLakeDataset,AzureSqlDatabase,False,False,False,False,False,False,field-eng
PL_GENERIC_INGEST_WATERMARK,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data incremental watermark,Copy,Incremental with Watermark,Medium-High,watermark_params,SqlServer,AzureBlobFS (Parquet),False,False,False,False,False,True,field-eng
Excel,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy Excel,Copy,Full Load,High,default,AzureBlobFS (Excel),AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
fleetmaintenance-copy_usingJob,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_maintenance_header to landing,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
fleetmaintenance-copy_usingJob,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_power_output to landing,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
PL_Generic_Full_Load,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data to ADLS,Copy,Full Load,High,default,SqlServer,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
pipeline1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureBlobFS (Binary),AzureBlobFS (Binary),False,False,False,False,False,False,field-eng
DeltaLakeAccessUCDemo,adf-csc168,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureDatabricksDeltaLake,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
wkmigrate_test_copy_simple,adf-wkmigrate-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,CopyBlobToBlob,Copy,Full Load,High,default,Blob,Blob,False,False,False,False,False,False,field-eng
dbrookes_sales_pipeline,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy_data,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
dbx_scb_aj_copy_convert,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,blob2ADLS,Copy,Full Load,High,default,AzureBlobStorage (Parquet),AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
005 - Ingest to Delta Lake via Copy,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SQL_to_ADLS,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Copy_win_totals,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_fd9,Copy,Full Load,High,default,AzureDatabricksDeltaLakeDataset,AzureSqlDatabase,False,False,False,False,False,False,field-eng
CopyDatabricksToADLS,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,CopyDataFromDatabricks,Copy,Full Load,High,default,AzureDatabricksDeltaLakeDataset,AzureBlobStorage (DelimitedText),False,False,False,False,False,False,field-eng
pipeline5,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureBlobStorage (DelimitedText),False,False,False,False,False,False,field-eng
mb-test,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,copy titanic,Copy,Full Load,High,default,HttpServer (DelimitedText),AzureBlobStorage (DelimitedText),False,False,False,False,False,False,field-eng
sqldb_to_delta,ronguerreroadf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,sqldb_extract_load,Copy,Full Load,High,default,AzureSqlDatabase,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
Extract Parquet to SQLDW,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Delta to Synapse,Copy,Full Load,High,default,AzureBlobFS (Parquet),AzureSqlDW,False,False,False,False,False,False,field-eng
Import Telemetry 2,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Unzip Telemetry,Copy,Full Load,High,default,AzureBlobStorage (Binary),AzureBlobStorage (Binary),False,False,False,False,False,False,field-eng
Import Telemetry,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Unzip archive in Blob,Copy,Full Load,High,default,AzureBlobStorage (Binary),AzureBlobStorage (Binary),False,False,False,False,False,False,field-eng
Databricks_Cluster_test1,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,JSON2CSV,Copy,Full Load,High,default,RestService,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
Databricks_Cluster_List_MI,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,JSON2CSV,Copy,Full Load,High,default,RestService,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
Databricks_Cluster_List_and_Select_MI,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,JSON2CSV,Copy,Full Load,High,default,RestService,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
CopyPipeline_zxz,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_zxz,Copy,Full Load,High,default,AzureSqlDatabase,AzureSqlDW,False,False,False,False,False,False,field-eng
pipeline1,mweu-adf-d-kanchwala-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureBlobFS (Parquet),AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
CopyPipeline_otis_adls_gen2,adf-otis-cosmosdb,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_kwj,Copy,Full Load,High,default,CosmosDb,AzureBlobFS (Parquet),False,False,False,False,False,False,field-eng
movefromcsv,rrcadfvivo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_efm,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureSqlDatabase,False,False,False,False,False,False,field-eng
CopyPipeline_adls_cosmos,adf-otis-cosmosdb,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy_fmo,Copy,Full Load,High,default,AzureBlobStorage (Json),CosmosDb,False,False,False,False,False,False,field-eng
pipeline2,bnelsondatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureDatabricksDeltaLakeDataset,AzureBlobFS (DelimitedText),False,False,False,False,False,False,field-eng
CopyADLStoDeltaLake,adf-fe-uae-01,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Copy data1,Copy,Full Load,High,default,AzureBlobFS (DelimitedText),AzureDatabricksDeltaLakeDataset,False,False,False,False,False,False,field-eng
CopyPipeline_g4l,ray-data-factory-1,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_g4l,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureBlobStorage (DelimitedText),False,False,False,False,False,False,azure-test-pm
CopyPipeline_lem,ray-data-factory-1,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_lem,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureBlobStorage (DelimitedText),False,False,False,False,False,False,azure-test-pm
CopyPipeline_ivn,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_ivn,Copy,Full Load,High,default,AzureBlobFS (Json),AzureBlobFS (Parquet),False,False,False,False,False,False,azure-test-pm
Copy_JSON_to_Parquet_Snappy,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_Cloudflare_Logs,Copy,Full Load,High,default,AzureBlobFS (Json),AzureBlobFS (Parquet),False,False,False,False,False,False,azure-test-pm
Copy_JSON_to_Parquet_Snappy,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_Machine_Logs,Copy,Full Load,High,default,AzureBlobFS (Json),AzureBlobFS (Parquet),False,False,False,False,False,False,azure-test-pm
CopyPipeline_Yellow_Parquet,tfayyaz-west-us-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_k3m,Copy,Full Load,High,default,AzureBlobFS (Parquet),AzureDatabricksDeltaLakeDataset,False,False,False,False,False,False,azure-test-pm
CopyPipeline_bn5,tfayyaz-ne-adf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_bn5,Copy,Full Load,High,default,AzureBlobFS (Json),AzureBlobFS (Json),False,False,False,False,False,False,azure-test-pm
DatabricksNotebooks,adf-runs,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,CopyAccounts,Copy,Full Load,High,default,Salesforce,AzureBlobStorage (Parquet),False,False,False,False,False,False,azure-test-pm
CopyPipeline_nmh,pmt-adf-jason-ping-sftp,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_nmh,Copy,Full Load,High,default,Sftp (Binary),AzureFileStorage (Binary),False,False,False,False,False,False,azure-test-pm
CopyPipeline_vgw,rayzhu-sf,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_vgw,Copy,Full Load,High,default,AzureBlobStorage (DelimitedText),AzureBlobStorage (DelimitedText),False,False,False,False,False,False,azure-test-pm
pipeline_warehousemigration_load,pmt_fabric_ws,Fabric,,Copy_vmu_copy1,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
pipeline_warehousemigration_customer,pmt_fabric_ws,Fabric,,Copy_t2y,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
pipeline1,pmt_fabric_ws,Fabric,,Copy_r07,Copy,Full Load,High,default,AzureBlobStorage (Parquet),LakehouseTable,False,False,False,False,False,False,
taxi_data_pipeline,pmt_fabric_ws,Fabric,,Copy_qyz,Copy,Full Load,High,default,AzureBlobStorage (Parquet),LakehouseTable,False,False,False,False,False,False,
CopyPipeline_jason_sftp_test_dale_server,pmt-adf-jason-ping-sftp,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,Copy_1s2,Copy,Full Load,High,default,Sftp (DelimitedText),AzureFileStorage (DelimitedText),False,False,False,False,False,False,azure-test-pm
CUJ_FF_01_PL,pmt_fabric_ws,Fabric,,Copy data1,Copy,Full Load,High,default,HttpServer (DelimitedText),DelimitedText,False,False,False,False,False,False,
aw_test_pipeline,pmt_fabric_ws,Fabric,,Copy_2x9,Copy,Full Load,High,default,AzureBlobStorage (Parquet),LakehouseTable,False,False,False,False,False,False,
PoliceDataLoad,pmt_fabric_ws,Fabric,,Copy_84m,Copy,Full Load,High,default,DelimitedText,DataWarehouse,False,False,False,False,False,False,
pipeline_to_warehouse_copy,pmt_fabric_ws,Fabric,,Pipeline to Warehouse Copy,Copy,Full Load,High,default,AzureBlobStorage (Parquet),DataWarehouse,False,False,False,False,False,False,
